IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
3.144.164.209,443,443,true,CMH,North America,US,Columbus,374,7.75
3.141.11.159,443,443,true,CMH,North America,US,Columbus,264,7.74
3.134.96.20,443,443,true,CMH,North America,US,Columbus,278,7.74
3.20.235.194,443,443,true,YYZ,North America,CA,Toronto,374,7.73
52.15.86.57,443,443,true,YYZ,North America,CA,Toronto,222,7.73
3.142.48.230,443,443,true,CMH,North America,US,Columbus,392,7.73
3.136.160.8,443,443,true,CMH,North America,US,Columbus,390,7.72
18.218.141.175,443,443,true,YYZ,North America,CA,Toronto,374,7.72
3.136.83.175,443,443,true,CMH,North America,US,Columbus,260,7.72
3.18.113.133,443,443,true,YYZ,North America,CA,Toronto,256,7.72
35.153.49.200,443,443,true,IAD,North America,US,Ashburn,273,7.71
18.191.2.168,443,443,true,YYZ,North America,CA,Toronto,244,7.71
3.141.42.227,443,443,true,CMH,North America,US,Columbus,272,7.71
52.15.119.92,443,443,true,YYZ,North America,CA,Toronto,320,7.71
3.146.37.172,8443,443,true,ORD,North America,US,Chicago,350,7.70
3.21.166.170,443,443,true,CMH,North America,US,Columbus,316,7.70
52.14.72.152,443,443,true,ORD,North America,US,Chicago,235,7.69
3.144.192.137,443,443,true,CMH,North America,US,Columbus,255,7.69
3.134.253.223,443,443,true,CMH,North America,US,Columbus,477,7.69
52.14.230.148,443,443,true,ORD,North America,US,Chicago,317,7.69
3.133.84.221,443,443,true,CMH,North America,US,Columbus,318,7.69
3.14.64.220,443,443,true,YYZ,North America,CA,Toronto,408,7.69
3.134.253.223,443,443,true,CMH,North America,US,Columbus,385,7.69
3.14.72.243,443,443,true,YYZ,North America,CA,Toronto,231,7.68
3.18.107.97,443,443,true,YYZ,North America,CA,Toronto,390,7.68
3.139.237.197,443,443,true,CMH,North America,US,Columbus,278,7.68
3.138.37.230,443,443,true,CMH,North America,US,Columbus,297,7.68
3.19.245.231,443,443,true,YYZ,North America,CA,Toronto,347,7.68
18.220.180.11,443,443,true,YYZ,North America,CA,Toronto,296,7.68
3.128.168.127,443,443,true,ORD,North America,US,Chicago,283,7.68
52.15.86.57,443,443,true,YYZ,North America,CA,Toronto,385,7.68
3.141.105.196,443,443,true,CMH,North America,US,Columbus,323,7.68
3.134.103.84,443,443,true,CMH,North America,US,Columbus,312,7.68
35.153.99.100,443,443,true,IAD,North America,US,Ashburn,329,7.68
18.191.224.227,443,443,true,YYZ,North America,CA,Toronto,260,7.68
44.213.126.253,443,443,true,IAD,North America,US,Ashburn,404,7.68
18.117.132.12,443,443,true,YYZ,North America,CA,Toronto,259,7.68
18.116.202.146,443,443,true,YYZ,North America,CA,Toronto,240,7.67
3.82.62.144,443,443,true,IAD,North America,US,Ashburn,319,7.67
3.144.120.145,443,443,true,CMH,North America,US,Columbus,223,7.67
52.15.72.98,443,443,true,YYZ,North America,CA,Toronto,369,7.66
54.81.60.162,443,443,true,IAD,North America,US,Ashburn,301,7.66
3.142.243.28,443,443,true,CMH,North America,US,Columbus,418,7.66
3.143.68.198,443,443,true,CMH,North America,US,Columbus,360,7.66
18.188.111.234,443,443,true,YYZ,North America,CA,Toronto,553,7.66
3.131.133.98,443,443,true,CMH,North America,US,Columbus,319,7.66
3.133.94.77,443,443,true,CMH,North America,US,Columbus,257,7.66
18.198.77.98,443,443,true,FRA,Europe,DE,Frankfurt,192,7.65
3.128.153.241,443,443,true,YYZ,North America,CA,Toronto,252,7.65
44.244.75.62,443,443,true,PDX,North America,US,Portland,377,7.65
3.133.7.132,443,443,true,YYZ,North America,CA,Toronto,404,7.64
3.135.248.97,443,443,true,CMH,North America,US,Columbus,251,7.64
54.196.221.75,443,443,true,IAD,North America,US,Ashburn,270,7.64
18.191.114.232,443,443,true,YYZ,North America,CA,Toronto,431,7.64
3.128.28.41,443,443,true,CMH,North America,US,Columbus,306,7.64
3.145.208.12,443,443,true,CMH,North America,US,Columbus,291,7.64
3.144.120.145,443,443,true,CMH,North America,US,Columbus,239,7.64
18.222.158.132,443,443,true,YYZ,North America,CA,Toronto,276,7.63
18.220.64.78,443,443,true,YYZ,North America,CA,Toronto,421,7.63
3.141.165.175,443,443,true,CMH,North America,US,Columbus,292,7.63
34.209.213.220,443,443,true,PDX,North America,US,Portland,364,7.63
34.222.135.73,443,443,true,PDX,North America,US,Portland,243,7.62
3.137.194.173,443,443,true,CMH,North America,US,Columbus,327,7.62
3.137.148.186,443,443,true,CMH,North America,US,Columbus,328,7.62
3.144.234.216,443,443,true,CMH,North America,US,Columbus,339,7.62
3.142.70.175,443,443,true,CMH,North America,US,Columbus,346,7.62
3.134.105.62,443,443,true,CMH,North America,US,Columbus,311,7.62
54.219.128.169,80,443,true,SJC,North America,US,San Jose,382,7.62
3.21.162.42,443,443,true,CMH,North America,US,Columbus,333,7.62
3.22.223.250,443,443,true,CMH,North America,US,Columbus,228,7.62
52.14.146.163,443,443,true,YYZ,North America,CA,Toronto,418,7.62
3.128.246.63,443,443,true,CMH,North America,US,Columbus,250,7.61
3.18.196.26,443,443,true,CMH,North America,US,Columbus,354,7.61
3.136.155.141,443,443,true,CMH,North America,US,Columbus,242,7.61
3.144.136.47,443,443,true,CMH,North America,US,Columbus,316,7.60
3.14.13.4,443,443,true,CMH,North America,US,Columbus,432,7.60
3.15.175.143,443,443,true,YYZ,North America,CA,Toronto,245,7.60
3.137.158.189,443,443,true,CMH,North America,US,Columbus,369,7.60
18.222.148.15,443,443,true,YYZ,North America,CA,Toronto,248,7.59
3.20.240.236,443,443,true,CMH,North America,US,Columbus,317,7.59
3.144.150.41,443,443,true,CMH,North America,US,Columbus,341,7.59
3.142.236.232,443,443,true,CMH,North America,US,Columbus,238,7.59
52.15.225.9,443,443,true,YYZ,North America,CA,Toronto,498,7.59
34.222.135.73,443,443,true,PDX,North America,US,Portland,317,7.59
3.139.90.107,443,443,true,CMH,North America,US,Columbus,359,7.59
3.134.102.208,443,443,true,CMH,North America,US,Columbus,346,7.58
3.141.105.31,443,443,true,CMH,North America,US,Columbus,244,7.58
34.214.20.12,443,443,true,PDX,North America,US,Portland,420,7.58
3.144.154.31,443,443,true,CMH,North America,US,Columbus,327,7.58
3.135.201.112,443,443,true,ORD,North America,US,Chicago,321,7.58
52.15.73.151,443,443,true,YYZ,North America,CA,Toronto,363,7.58
18.191.247.95,443,443,true,YYZ,North America,CA,Toronto,233,7.58
18.117.192.25,443,443,true,ORD,North America,US,Chicago,320,7.57
3.19.30.127,443,443,true,YYZ,North America,CA,Toronto,424,7.57
3.137.136.71,443,443,true,CMH,North America,US,Columbus,347,7.57
18.221.226.15,443,443,true,YYZ,North America,CA,Toronto,229,7.57
54.161.151.0,80,443,false,IAD,North America,US,Ashburn,256,7.56
18.117.115.167,443,443,true,YYZ,North America,CA,Toronto,369,7.56
3.21.125.35,443,443,true,YYZ,North America,CA,Toronto,245,7.56
18.220.223.209,443,443,true,YYZ,North America,CA,Toronto,263,7.56
3.142.153.245,443,443,true,CMH,North America,US,Columbus,362,7.56
3.137.221.6,443,443,true,CMH,North America,US,Columbus,323,7.56
18.236.13.188,80,443,true,PDX,North America,US,Portland,353,7.56
3.18.196.26,443,443,true,CMH,North America,US,Columbus,313,7.55
3.22.100.243,443,443,true,YYZ,North America,CA,Toronto,388,7.55
52.14.149.224,443,443,true,YYZ,North America,CA,Toronto,380,7.55
18.220.36.116,443,443,true,YYZ,North America,CA,Toronto,250,7.55
3.137.144.241,443,443,true,CMH,North America,US,Columbus,302,7.55
3.14.12.0,443,443,true,YYZ,North America,CA,Toronto,359,7.54
3.18.223.233,443,443,true,CMH,North America,US,Columbus,336,7.54
18.191.72.151,443,443,true,YYZ,North America,CA,Toronto,256,7.54
3.139.65.151,443,443,true,CMH,North America,US,Columbus,390,7.53
3.144.167.171,443,443,true,CMH,North America,US,Columbus,228,7.53
3.17.167.243,443,443,true,CMH,North America,US,Columbus,414,7.53
3.145.130.139,443,443,true,CMH,North America,US,Columbus,238,7.53
3.19.66.221,443,443,true,CMH,North America,US,Columbus,393,7.53
18.218.232.123,443,443,true,YYZ,North America,CA,Toronto,391,7.52
3.12.111.89,443,443,true,YYZ,North America,CA,Toronto,379,7.52
3.139.236.130,443,443,true,CMH,North America,US,Columbus,362,7.52
18.219.68.160,443,443,true,YYZ,North America,CA,Toronto,306,7.51
3.144.115.189,443,443,true,ORD,North America,US,Chicago,397,7.51
3.16.31.8,443,443,true,YYZ,North America,CA,Toronto,303,7.51
3.23.112.186,443,443,true,YYZ,North America,CA,Toronto,256,7.51
3.19.123.30,443,443,true,CMH,North America,US,Columbus,236,7.50
18.191.145.8,443,443,true,YYZ,North America,CA,Toronto,343,7.50
18.221.155.215,443,443,true,YYZ,North America,CA,Toronto,236,7.50
3.145.77.37,443,443,true,ORD,North America,US,Chicago,262,7.49
3.128.153.241,443,443,true,CMH,North America,US,Columbus,388,7.49
3.16.26.140,443,443,true,YYZ,North America,CA,Toronto,299,7.49
3.137.150.209,443,443,true,CMH,North America,US,Columbus,241,7.49
44.243.199.169,443,443,true,PDX,North America,US,Portland,219,7.48
3.16.31.53,443,443,true,YYZ,North America,CA,Toronto,311,7.48
3.137.137.200,443,443,true,CMH,North America,US,Columbus,336,7.48
3.144.154.31,443,443,true,YYZ,North America,CA,Toronto,286,7.47
3.15.180.63,443,443,true,YYZ,North America,CA,Toronto,295,7.47
52.15.129.25,443,443,true,YYZ,North America,CA,Toronto,308,7.47
52.14.96.192,443,443,true,YYZ,North America,CA,Toronto,237,7.47
3.65.71.157,2053,443,true,FRA,Europe,DE,Frankfurt,281,7.47
3.89.191.154,443,443,true,IAD,North America,US,Ashburn,269,7.47
3.15.202.89,443,443,true,ORD,North America,US,Chicago,352,7.47
3.137.157.235,443,443,true,CMH,North America,US,Columbus,361,7.46
